station_id,available_bikes,empty_docks,capacity,last_updated
22,5,18,23,02/28/2019 04:48:04 PM
12,11,0,11,02/28/2019 03:31:07 PM
38,1,10,11,02/28/2019 04:41:39 PM
39,7,12,19,02/28/2019 02:13:56 PM
15,2,9,11,02/28/2019 05:04:56 PM
30,7,4,11,02/28/2019 04:58:11 PM
41,8,7,15,02/28/2019 05:00:57 PM
23,11,0,11,02/28/2019 12:44:03 PM
46,13,2,15,02/28/2019 04:57:33 PM
51,3,16,19,02/28/2019 05:04:47 PM
57,15,16,31,02/28/2019 05:08:58 PM
20,8,7,15,02/28/2019 02:43:35 PM
6,6,5,11,02/28/2019 04:55:34 PM
10,6,5,11,02/28/2019 05:19:59 PM
26,16,20,37,02/28/2019 05:17:47 PM
4,7,8,15,02/28/2019 02:45:47 PM
28,16,3,19,02/28/2019 05:17:17 PM
31,10,5,15,02/28/2019 05:13:08 PM
35,2,5,7,02/28/2019 05:10:30 PM
37,3,8,11,02/28/2019 05:23:20 PM
45,24,14,39,02/28/2019 05:19:41 PM
49,5,6,11,02/28/2019 05:22:17 PM
14,11,8,19,02/28/2019 04:22:21 PM
36,8,3,11,02/28/2019 04:15:56 PM
7,9,2,11,02/28/2019 04:14:18 PM
40,9,14,23,02/28/2019 01:57:38 PM
55,0,11,11,02/28/2019 04:48:33 PM
24,10,9,19,02/28/2019 10:29:41 AM
33,10,13,23,02/28/2019 05:24:44 PM
27,2,25,27,02/28/2019 04:00:19 PM
11,10,17,27,02/28/2019 04:18:26 PM
52,2,9,11,02/28/2019 04:22:46 PM
44,6,9,15,02/28/2019 05:20:56 PM
50,6,17,23,02/28/2019 05:10:53 PM
25,5,22,27,02/28/2019 03:33:27 PM
8,3,4,7,02/28/2019 12:30:41 PM
9,5,6,11,02/28/2019 04:50:10 PM
17,8,7,15,02/28/2019 05:06:37 PM
21,6,17,23,02/28/2019 04:56:53 PM
29,20,7,27,02/28/2019 05:24:36 PM
18,2,9,11,02/28/2019 04:09:34 PM
16,13,20,33,02/28/2019 04:15:51 PM
32,8,7,15,02/28/2019 05:19:44 PM
2,9,14,23,02/28/2019 04:27:43 PM
48,3,12,15,02/28/2019 05:16:53 PM
47,4,7,11,02/28/2019 04:15:19 PM
53,14,11,25,02/28/2019 01:49:44 PM
43,2,9,11,02/28/2019 02:28:25 PM
34,4,7,11,02/28/2019 02:52:55 PM
42,15,11,27,02/28/2019 04:36:25 PM
